Games,Agent,Env,Tie
50000,0.2533,0.2789,0.4678
100000,0.2576,0.2778,0.4646
150000,0.2645,0.2752,0.4603
200000,0.2712,0.2714,0.4574
250000,0.2779,0.2679,0.4541
300000,0.2851,0.2651,0.4498
350000,0.292,0.2614,0.4466
400000,0.2984,0.2587,0.4429
450000,0.3034,0.2567,0.4398
500000,0.3081,0.2551,0.4367
550000,0.3123,0.2536,0.4341
600000,0.3168,0.252,0.4311
650000,0.3212,0.2505,0.4283
700000,0.3257,0.2489,0.4254
750000,0.3298,0.2473,0.4229
800000,0.3342,0.2457,0.4201
850000,0.3382,0.2444,0.4175
900000,0.3424,0.243,0.4147
950000,0.3469,0.2414,0.4117
1000000,0.3511,0.2399,0.4089
1050000,0.3555,0.2384,0.4061
1100000,0.3686,0.2335,0.3979
1150000,0.3873,0.2263,0.3864
1200000,0.4053,0.2193,0.3753
1250000,0.4229,0.2126,0.3646
1300000,0.4399,0.2061,0.354
1350000,0.4562,0.1998,0.344
1400000,0.4723,0.1936,0.3341
1450000,0.4878,0.1876,0.3245
1500000,0.5026,0.182,0.3154
1550000,0.5165,0.1766,0.3069
1600000,0.5296,0.1716,0.2988
1650000,0.5419,0.1668,0.2912
1700000,0.5535,0.1624,0.2841
1750000,0.5646,0.1581,0.2773
1800000,0.5749,0.1542,0.2709
1850000,0.5848,0.1504,0.2649
1900000,0.5941,0.1467,0.2592
1950000,0.6029,0.1433,0.2538
2000000,0.6113,0.1401,0.2486
2050000,0.6192,0.137,0.2438
2100000,0.6268,0.134,0.2391
2150000,0.6341,0.1312,0.2347
2200000,0.6411,0.1285,0.2304
2250000,0.6477,0.126,0.2264
2300000,0.654,0.1235,0.2225
2350000,0.6601,0.1212,0.2188
2400000,0.6659,0.1189,0.2152
2450000,0.6715,0.1167,0.2118
2500000,0.6769,0.1147,0.2084
2550000,0.682,0.1127,0.2053
2600000,0.687,0.1107,0.2023
2650000,0.6918,0.1089,0.1994
2700000,0.6964,0.1071,0.1965
2750000,0.7008,0.1053,0.1938
2800000,0.7051,0.1037,0.1912
2850000,0.7092,0.1021,0.1887
2900000,0.7132,0.1006,0.1863
2950000,0.717,0.0991,0.1839
3000000,0.7208,0.0976,0.1816
3050000,0.7243,0.0962,0.1795
3100000,0.7278,0.0949,0.1773
3150000,0.7312,0.0935,0.1752
3200000,0.7345,0.0923,0.1733
3250000,0.7376,0.0911,0.1713
3300000,0.7407,0.0899,0.1695
3350000,0.7436,0.0887,0.1676
3400000,0.7466,0.0876,0.1658
3450000,0.7494,0.0865,0.1641
3500000,0.7521,0.0855,0.1624
3550000,0.7548,0.0844,0.1608
3600000,0.7573,0.0834,0.1592
3650000,0.7599,0.0825,0.1577
3700000,0.7623,0.0815,0.1562
3750000,0.7647,0.0806,0.1547
3800000,0.767,0.0797,0.1533
3850000,0.7693,0.0788,0.1519
3900000,0.7715,0.0779,0.1505
3950000,0.7737,0.0771,0.1492
4000000,0.7758,0.0763,0.1479
4050000,0.7778,0.0755,0.1467
4100000,0.7798,0.0747,0.1455
4150000,0.7817,0.074,0.1443
4200000,0.7837,0.0732,0.1431
4250000,0.7855,0.0725,0.142
4300000,0.7873,0.0718,0.1409
4350000,0.789,0.0711,0.1399
4400000,0.7907,0.0705,0.1388
4450000,0.7924,0.0698,0.1378
4500000,0.7941,0.0692,0.1368
4550000,0.7957,0.0686,0.1358
4600000,0.7973,0.0679,0.1348
4650000,0.7988,0.0673,0.1339
4700000,0.8003,0.0668,0.1329
4750000,0.8018,0.0662,0.132
4800000,0.8032,0.0656,0.1312
4850000,0.8046,0.0651,0.1303
4900000,0.806,0.0645,0.1294
4950000,0.8074,0.064,0.1286
5000000,0.8087,0.0635,0.1278
